"Czy aktualnie stosujesz suplementy diety?";"Jak często stosujesz suplementy?";"Od jak dawna stosujesz suplementy?";"Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi)";"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?";"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?";"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?";"Czy konsultujesz suplementację ze specjalistą?";"Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi)"
"Tak";"Codziennie";"1–3 lata";"Witamina D";"Magnez";"Witamina C";"Kreatyna";"Białko";"Często – uważam,że standardowe dawki są zbyt niskie."
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Witamina D";"Magnez";"Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Nie,stosuję suplementy bez wykonywania wcześniejszych badań."
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Witamina D";"Witamina C";"Multiwitaminy";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Multiwitaminy";"Kwasy omega-3";"Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie,wypadanie włosów)."
"Tak";"Codziennie";">3 lat";"Witamina D";"Multiwitaminy";"Kwasy omega-3";"Probiotyki";"żelazo";"Nigdy – stosuję się ściśle do zaleceń."
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D";"Kwasy omega-3";"Probiotyki";"Białko";"Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń."
"Tak";"Kilka razy w miesiącu";">3 lat";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Konsultuje";"Poprawa zdrowia"
"Tak";"Codziennie";">3 lat";"Witamina D";"Kwasy omega-3";"Kreatyna";"Białko";"Kolagen";"Sporadycznie (np. gdy czuję,że 'bierze mnie przeziębienie')."
"Tak";"Codziennie";">3 lat";"Witamina D";"Magnez";"Kreatyna";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie,wypadanie włosów)."
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D";"Magnez";"Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak,każdą suplementację konsultuję z wynikami badań"
